EmployeeNumber,Attrition,Department,Age,Gender,JobRole,JobSatisfaction,MonthlyIncome,WorkLifeBalance,YearsAtCompany
599,No,Sales,41,Male,Sales Executive,4,6230,3,14
600,No,Sales,35,Male,Sales Executive,3,4717,3,11
601,No,Research & Development,40,Female,Manufacturing Director,3,13237,3,20
602,No,Research & Development,39,Female,Laboratory Technician,3,3755,3,8
604,No,Sales,31,Male,Sales Executive,4,6582,4,6
605,No,Research & Development,42,Male,Manufacturing Director,1,7406,2,10
606,No,Sales,45,Male,Sales Executive,2,4805,4,8
608,Yes,Human Resources,26,Female,Human Resources,3,2741,2,7
611,No,Research & Development,29,Male,Manufacturing Director,4,4262,4,3
612,No,Research & Development,33,Female,Research Director,3,16184,3,6
613,No,Sales,31,Male,Manager,4,11557,2,5
614,Yes,Sales,18,Male,Sales Representative,2,1878,3,0
615,No,Sales,40,Male,Sales Executive,1,10932,3,1
616,No,Research & Development,41,Female,Healthcare Representative,3,6811,3,8
618,No,Sales,26,Male,Sales Executive,3,4306,3,0
620,No,Sales,35,Female,Sales Executive,3,4859,3,5
621,No,Sales,34,Male,Sales Executive,4,5337,3,10
622,Yes,Research & Development,26,Male,Laboratory Technician,4,2340,1,1
623,No,Research & Development,37,Female,Manufacturing Director,4,7491,4,6
624,No,Research & Development,46,Female,Healthcare Representative,3,10527,2,2
625,No,Sales,41,Female,Manager,1,16595,3,18
626,No,Sales,37,Male,Sales Executive,2,8834,3,9
630,No,Research & Development,52,Male,Research Scientist,1,5577,3,10
631,Yes,Sales,32,Male,Sales Executive,3,4707,3,4
632,No,Sales,24,Male,Sales Representative,4,2400,3,2
634,No,Research & Development,38,Female,Healthcare Representative,3,9824,3,1
635,No,Research & Development,37,Female,Manufacturing Director,2,6447,2,6
638,No,Research & Development,49,Male,Research Director,3,19502,3,31
639,No,Research & Development,24,Male,Research Scientist,4,2725,3,6
641,No,Sales,26,Male,Sales Executive,2,6272,4,5
643,No,Research & Development,24,Male,Laboratory Technician,2,2127,3,1
644,No,Human Resources,50,Male,Manager,2,18200,3,32
645,No,Sales,25,Male,Sales Representative,3,2096,3,7
647,Yes,Research & Development,24,Female,Laboratory Technician,3,2886,3,6
648,Yes,Sales,30,Male,Sales Representative,1,2033,4,1
649,No,Research & Development,34,Male,Research Scientist,4,3622,3,6
650,Yes,Sales,31,Male,Sales Executive,1,4233,1,3
652,No,Research & Development,35,Male,Laboratory Technician,4,3681,3,3
653,No,Sales,31,Male,Sales Executive,4,5460,4,7
655,No,Research & Development,27,Female,Research Scientist,3,2187,2,5
656,No,Sales,37,Male,Sales Executive,3,9602,2,3
657,No,Research & Development,20,Female,Research Scientist,2,2836,4,1
659,No,Research & Development,42,Female,Healthcare Representative,4,4089,3,10
661,No,Research & Development,43,Male,Research Director,4,16627,2,1
662,No,Research & Development,38,Female,Research Scientist,1,2619,2,0
663,No,Research & Development,43,Male,Laboratory Technician,3,5679,3,8
664,No,Research & Development,48,Female,Manager,1,15402,1,3
665,No,Human Resources,44,Female,Human Resources,3,5985,4,2
666,No,Sales,34,Female,Sales Representative,3,2579,3,8
667,Yes,Sales,27,Male,Sales Representative,1,3041,3,4
669,No,Sales,21,Male,Sales Representative,3,3447,3,3
671,No,Research & Development,44,Male,Manager,4,19513,4,2
675,No,Research & Development,22,Male,Research Scientist,3,2773,3,2
677,No,Sales,33,Male,Sales Executive,3,7104,3,5
679,No,Research & Development,32,Female,Research Scientist,4,6322,2,6
680,No,Research & Development,30,Female,Research Scientist,3,2083,3,1
682,No,Sales,53,Female,Sales Executive,1,8381,4,14
683,No,Research & Development,34,Male,Research Scientist,4,2691,2,10
684,Yes,Sales,45,Female,Sales Executive,1,4286,3,1
686,No,Research & Development,26,Female,Laboratory Technician,4,2659,3,3
689,No,Research & Development,37,Male,Manufacturing Director,3,9434,3,10
690,No,Sales,29,Female,Sales Executive,3,5561,2,6
691,No,Research & Development,35,Male,Research Scientist,4,6646,3,17
692,No,Research & Development,33,Male,Healthcare Representative,4,7725,1,13
698,No,Human Resources,54,Male,Human Resources,2,10725,4,9
699,No,Research & Development,36,Male,Manufacturing Director,2,8847,3,3
700,No,Research & Development,27,Male,Research Scientist,4,2045,3,4
701,Yes,Research & Development,20,Male,Research Scientist,3,1009,3,1
702,Yes,Research & Development,33,Male,Research Scientist,1,3348,3,10
704,No,Research & Development,35,Male,Laboratory Technician,3,1281,3,1
705,No,Research & Development,23,Male,Research Scientist,1,2819,4,3
707,No,Sales,25,Male,Sales Executive,2,4851,3,3
709,No,Sales,38,Female,Sales Executive,4,4028,3,7
710,No,Research & Development,29,Male,Research Scientist,4,2720,3,10
712,No,Sales,48,Male,Sales Executive,2,8120,3,2
714,No,Sales,27,Female,Sales Executive,4,4647,3,6
715,No,Research & Development,37,Male,Research Scientist,4,4680,3,1
716,No,Research & Development,50,Male,Laboratory Technician,3,3221,3,20
717,No,Research & Development,34,Female,Healthcare Representative,2,8621,4,8
720,Yes,Sales,24,Female,Sales Executive,3,4577,3,2
721,No,Research & Development,39,Female,Healthcare Representative,3,4553,3,20
722,No,Sales,32,Male,Sales Executive,4,5396,2,10
723,Yes,Sales,50,Male,Sales Executive,3,6796,3,4
724,No,Research & Development,38,Female,Healthcare Representative,4,7625,2,9
725,No,Research & Development,27,Female,Manufacturing Director,1,7412,3,9
727,No,Research & Development,32,Female,Research Director,4,11159,3,7
728,No,Sales,47,Male,Sales Executive,1,4960,3,7
729,No,Sales,40,Male,Sales Executive,1,10475,3,18
730,No,Research & Development,53,Male,Research Director,3,14814,3,5
731,No,Human Resources,41,Male,Manager,4,19141,2,21
732,No,Sales,60,Male,Sales Executive,1,5405,3,2
733,No,Research & Development,27,Male,Manufacturing Director,1,8793,2,9
734,No,Human Resources,41,Male,Manager,3,19189,3,22
738,No,Sales,50,Male,Sales Representative,2,3875,3,2
741,Yes,Research & Development,28,Female,Research Scientist,2,2216,3,7
742,No,Research & Development,36,Female,Research Director,1,11713,3,8
743,No,Research & Development,38,Female,Manufacturing Director,3,7861,4,1
744,No,Research & Development,44,Male,Laboratory Technician,3,3708,3,5
746,No,Sales,47,Female,Sales Executive,3,13770,2,22
747,No,Sales,30,Male,Sales Executive,4,5304,2,8
749,No,Sales,29,Male,Sales Representative,3,2642,3,1
752,Yes,Research & Development,42,Male,Research Scientist,3,2759,3,2
754,No,Sales,43,Male,Sales Executive,4,6804,3,2
757,No,Research & Development,34,Female,Healthcare Representative,3,6142,3,5
758,No,Research & Development,23,Male,Laboratory Technician,1,2500,4,4
760,No,Human Resources,39,Female,Human Resources,2,6389,1,8
762,No,Research & Development,56,Male,Healthcare Representative,4,11103,2,10
763,No,Research & Development,40,Female,Research Scientist,4,2342,2,4
764,No,Research & Development,27,Female,Healthcare Representative,1,6811,1,7
766,No,Sales,29,Male,Sales Representative,2,2297,3,2
769,No,Research & Development,53,Male,Laboratory Technician,4,2450,3,2
771,No,Research & Development,35,Female,Healthcare Representative,1,5093,4,1
772,No,Research & Development,32,Male,Laboratory Technician,4,5309,3,10
773,No,Research & Development,38,Male,Research Scientist,3,3057,1,1
775,No,Research & Development,34,Female,Manufacturing Director,1,5121,3,0
776,No,Sales,52,Male,Manager,1,16856,4,34
780,Yes,Research & Development,33,Male,Research Scientist,4,2686,2,10
781,No,Sales,25,Female,Sales Executive,4,6180,2,6
783,No,Sales,45,Male,Sales Representative,3,6632,3,8
784,No,Research & Development,23,Male,Research Scientist,3,3505,3,2
785,Yes,Sales,47,Female,Sales Executive,3,6397,3,5
786,No,Sales,34,Male,Sales Executive,4,6274,3,6
787,Yes,Research & Development,55,Male,Manager,1,19859,3,5
789,No,Sales,36,Male,Sales Executive,1,7587,3,10
791,No,Research & Development,52,Male,Research Scientist,4,4258,3,4
792,No,Research & Development,26,Female,Laboratory Technician,4,4364,3,2
793,No,Research & Development,29,Female,Healthcare Representative,3,4335,2,8
796,Yes,Sales,26,Male,Sales Executive,1,5326,2,4
797,No,Research & Development,34,Female,Research Scientist,4,3280,3,4
799,No,Research & Development,54,Female,Manufacturing Director,1,5485,3,5
800,No,Sales,27,Male,Sales Executive,4,4342,3,4
802,No,Research & Development,37,Female,Research Scientist,1,2782,2,5
803,No,Research & Development,38,Female,Manufacturing Director,1,5980,3,15
804,No,Research & Development,34,Female,Research Scientist,1,4381,3,6
805,No,Sales,35,Female,Sales Representative,4,2572,2,3
806,No,Research & Development,30,Male,Laboratory Technician,3,3833,3,2
807,No,Research & Development,40,Female,Healthcare Representative,2,4244,3,8
808,No,Sales,34,Female,Sales Executive,1,6500,3,3
809,No,Research & Development,42,Male,Manager,4,18430,2,24
811,Yes,Research & Development,23,Male,Laboratory Technician,1,1601,3,0
812,No,Research & Development,24,Male,Laboratory Technician,2,2694,3,1
813,No,Research & Development,52,Female,Laboratory Technician,3,3149,3,5
815,No,Research & Development,50,Male,Research Director,3,17639,3,4
816,Yes,Research & Development,29,Female,Laboratory Technician,1,2319,3,1
817,No,Research & Development,33,Male,Research Director,3,11691,4,13
819,Yes,Sales,33,Female,Sales Executive,1,5324,3,3
820,No,Research & Development,47,Female,Manager,4,16752,2,26
823,No,Research & Development,36,Female,Manufacturing Director,2,5228,3,9
824,No,Research & Development,29,Male,Research Scientist,3,2700,3,10
825,Yes,Research & Development,58,Male,Research Director,2,19246,3,31
826,No,Research & Development,35,Female,Research Scientist,3,2506,3,2
827,No,Research & Development,42,Female,Manufacturing Director,4,6062,3,4
828,Yes,Research & Development,28,Male,Research Scientist,3,4382,2,2
829,No,Human Resources,36,Male,Human Resources,2,2143,3,5
830,No,Research & Development,32,Female,Manufacturing Director,3,6162,3,14
832,No,Research & Development,40,Male,Laboratory Technician,3,5094,3,1
833,No,Research & Development,30,Female,Manufacturing Director,4,6877,2,0
834,No,Research & Development,45,Female,Research Scientist,3,2274,3,1
836,No,Research & Development,42,Male,Manufacturing Director,2,4434,2,9
837,No,Research & Development,38,Male,Healthcare Representative,1,6288,2,4
838,No,Research & Development,34,Female,Research Scientist,4,2553,3,5
840,Yes,Sales,49,Female,Sales Executive,4,7654,4,9
842,Yes,Sales,55,Male,Sales Executive,4,5160,2,9
843,No,Research & Development,43,Male,Research Director,1,17159,3,4
844,No,Research & Development,27,Male,Research Director,4,12808,3,9
845,No,Research & Development,35,Male,Manufacturing Director,3,10221,4,8
846,No,Sales,28,Female,Sales Executive,2,4779,3,8
847,No,Human Resources,34,Male,Human Resources,4,3737,1,3
848,Yes,Research & Development,26,Female,Research Scientist,3,2366,3,8
850,No,Research & Development,27,Male,Research Scientist,4,1706,2,0
851,No,Sales,51,Female,Manager,3,16307,2,20
852,No,Research & Development,44,Male,Healthcare Representative,2,5933,2,5
854,No,Research & Development,25,Male,Research Scientist,1,3424,2,4
855,No,Sales,33,Male,Sales Executive,1,4037,3,9
856,No,Research & Development,35,Female,Research Scientist,1,2559,2,6
857,No,Sales,36,Male,Sales Executive,4,6201,2,18
859,No,Sales,32,Male,Sales Executive,4,4403,2,5
861,No,Research & Development,30,Male,Research Scientist,4,3761,2,5
862,No,Sales,53,Female,Sales Executive,4,10934,3,5
864,No,Sales,45,Male,Sales Executive,1,10761,3,5
865,No,Research & Development,32,Female,Research Scientist,3,5175,2,5
867,No,Research & Development,52,Female,Manufacturing Director,4,13826,3,9
868,No,Sales,37,Male,Sales Executive,3,6334,3,1
869,No,Human Resources,28,Male,Human Resources,4,4936,3,5
872,No,Research & Development,22,Male,Manufacturing Director,4,4775,1,2
874,No,Research & Development,44,Male,Laboratory Technician,4,2818,2,3
875,No,Research & Development,42,Male,Research Scientist,4,2515,3,2
878,No,Human Resources,36,Male,Human Resources,1,2342,3,5
879,No,Sales,25,Male,Sales Executive,1,4194,3,5
880,No,Research & Development,35,Female,Manufacturing Director,3,10685,3,17
881,Yes,Research & Development,35,Female,Research Scientist,2,2022,2,10
882,No,Research & Development,32,Male,Laboratory Technician,4,2314,3,3
885,No,Sales,25,Male,Sales Executive,1,4256,4,5
887,No,Research & Development,49,Female,Research Scientist,1,3580,3,4
888,No,Research & Development,24,Male,Laboratory Technician,4,3162,2,5
889,No,Sales,32,Male,Sales Executive,2,6524,3,10
893,No,Sales,38,Male,Sales Representative,2,2899,3,2
894,No,Research & Development,42,Female,Laboratory Technician,4,5231,2,5
895,No,Research & Development,31,Male,Research Scientist,4,2356,3,6
896,Yes,Sales,29,Female,Sales Representative,3,2800,3,3
897,No,Sales,53,Male,Sales Executive,4,11836,3,2
899,No,Research & Development,35,Male,Manufacturing Director,2,10903,3,13
900,No,Sales,37,Female,Sales Representative,4,2973,3,5
901,No,Research & Development,53,Female,Research Director,4,14275,3,12
902,No,Research & Development,43,Female,Healthcare Representative,4,5562,2,5
903,No,Sales,47,Female,Sales Executive,4,4537,3,7
904,No,Sales,37,Male,Sales Executive,2,7642,3,10
905,No,Research & Development,50,Male,Manager,1,17924,3,31
909,No,Human Resources,39,Female,Human Resources,4,5204,3,5
910,No,Human Resources,33,Male,Human Resources,2,2277,4,4
911,Yes,Research & Development,32,Male,Laboratory Technician,4,2795,1,1
912,No,Research & Development,29,Female,Laboratory Technician,4,2532,3,4
913,No,Research & Development,44,Male,Research Scientist,1,2559,3,8
916,No,Sales,28,Male,Sales Executive,4,4908,3,4
918,Yes,Research & Development,58,Male,Laboratory Technician,4,2380,2,1
920,No,Research & Development,43,Female,Manufacturing Director,2,4765,4,1
922,Yes,Sales,20,Female,Sales Representative,3,2044,2,2
923,Yes,Research & Development,21,Female,Research Scientist,4,2693,2,1
924,No,Research & Development,36,Male,Healthcare Representative,4,6586,2,16
925,No,Sales,47,Female,Sales Representative,4,3294,2,3
926,Yes,Research & Development,22,Female,Manufacturing Director,3,4171,4,3
927,Yes,Research & Development,41,Female,Laboratory Technician,4,2778,2,7
930,No,Research & Development,28,Female,Research Scientist,3,2377,3,2
932,Yes,Research & Development,39,Male,Laboratory Technician,1,2404,1,2
933,No,Research & Development,27,Female,Research Scientist,3,2318,3,1
934,No,Research & Development,34,Male,Laboratory Technician,2,2008,3,1
936,No,Sales,42,Female,Sales Executive,3,6244,3,5
939,No,Research & Development,33,Male,Research Scientist,1,2799,3,3
940,No,Research & Development,58,Female,Healthcare Representative,2,10552,3,6
941,No,Sales,31,Male,Sales Representative,3,2329,4,7
942,No,Research & Development,35,Female,Healthcare Representative,4,4014,1,10
944,No,Research & Development,49,Female,Laboratory Technician,2,7403,2,26
945,No,Research & Development,48,Male,Research Scientist,3,2259,2,0
947,No,Sales,31,Female,Sales Executive,3,6932,2,9
949,No,Research & Development,36,Male,Research Scientist,4,4678,3,6
950,No,Research & Development,38,Female,Research Director,1,13582,3,15
951,No,Research & Development,32,Female,Laboratory Technician,2,2332,3,3
952,Yes,Sales,25,Male,Sales Representative,2,2413,3,1
954,No,Sales,40,Male,Sales Executive,2,9705,2,1
956,No,Sales,26,Male,Sales Executive,1,4294,3,7
957,No,Research & Development,41,Male,Laboratory Technician,1,4721,3,18
958,No,Research & Development,36,Male,Laboratory Technician,3,2519,3,11
959,Yes,Sales,19,Male,Sales Representative,2,2121,4,1
960,Yes,Research & Development,20,Male,Laboratory Technician,1,2973,3,1
961,No,Research & Development,31,Female,Healthcare Representative,4,5855,1,9
964,No,Research & Development,40,Male,Research Scientist,2,3617,3,1
966,No,Research & Development,32,Female,Manufacturing Director,1,6725,4,8
967,Yes,Sales,36,Male,Sales Executive,4,10325,3,16
969,No,Research & Development,33,Female,Healthcare Representative,4,6949,3,5
970,Yes,Sales,37,Male,Sales Executive,3,10609,1,14
972,No,Research & Development,45,Male,Laboratory Technician,2,4447,2,9
974,No,Sales,29,Female,Sales Representative,4,2157,3,3
975,No,Sales,35,Female,Sales Executive,3,4601,3,5
976,No,Research & Development,52,Male,Manager,4,17099,2,9
977,Yes,Research & Development,58,Male,Research Scientist,3,2479,3,1
981,No,Sales,53,Male,Manager,3,14852,4,17
982,No,Sales,30,Male,Sales Executive,3,7264,4,8
983,No,Sales,38,Female,Sales Executive,4,5666,3,5
984,No,Sales,35,Male,Sales Executive,4,7823,3,10
985,No,Sales,39,Male,Sales Executive,3,7880,3,8
986,Yes,Sales,40,Female,Sales Executive,2,13194,2,1
987,No,Research & Development,47,Male,Manufacturing Director,3,5067,4,19
990,No,Sales,36,Male,Sales Executive,4,5079,3,7
991,Yes,Research & Development,31,Male,Research Scientist,1,2321,3,3
992,No,Sales,33,Male,Manager,3,17444,3,10
994,Yes,Research & Development,29,Female,Research Scientist,1,2404,3,0
995,No,Research & Development,33,Female,Research Scientist,4,3452,3,3
996,No,Research & Development,45,Female,Laboratory Technician,4,2270,3,5
997,No,Research & Development,50,Male,Research Director,4,17399,2,5
998,No,Research & Development,33,Female,Healthcare Representative,2,5488,3,6
999,No,Research & Development,41,Male,Research Director,3,19419,4,18
1001,No,Research & Development,27,Female,Laboratory Technician,2,2811,3,2
1002,No,Research & Development,45,Male,Laboratory Technician,1,3633,3,9
1003,No,Sales,47,Female,Sales Executive,4,4163,3,9
1004,Yes,Research & Development,30,Female,Research Scientist,3,2132,3,5
1005,No,Research & Development,50,Male,Manufacturing Director,3,13973,3,12
1006,No,Research & Development,38,Male,Research Scientist,3,2684,2,2
1007,No,Research & Development,46,Male,Manufacturing Director,3,10845,3,8
1009,No,Research & Development,24,Female,Manufacturing Director,3,4377,3,4
1010,Yes,Research & Development,35,Male,Laboratory Technician,2,3743,1,4
1011,No,Research & Development,31,Female,Manufacturing Director,1,4148,3,4
1012,No,Research & Development,18,Male,Research Scientist,4,1051,3,0
1013,No,Research & Development,54,Female,Manufacturing Director,3,10739,3,10
1014,No,Research & Development,35,Female,Healthcare Representative,3,10388,2,16
1015,No,Research & Development,30,Female,Research Director,1,11416,2,8
1016,Yes,Research & Development,20,Female,Research Scientist,1,2600,3,1
1017,Yes,Research & Development,30,Female,Laboratory Technician,2,2422,3,3
1018,No,Research & Development,26,Male,Manufacturing Director,4,5472,3,8
1019,No,Research & Development,22,Male,Laboratory Technician,1,2451,2,4
1022,No,Research & Development,48,Male,Healthcare Representative,3,4240,3,2
1024,No,Research & Development,48,Male,Healthcare Representative,3,10999,3,15
1025,No,Research & Development,41,Female,Manufacturing Director,3,5003,3,2
1026,No,Research & Development,39,Female,Manufacturing Director,4,12742,3,21
1027,No,Research & Development,27,Female,Manufacturing Director,4,4227,3,3
1028,No,Research & Development,35,Male,Laboratory Technician,4,3917,2,3
1029,No,Sales,42,Male,Manager,3,18303,4,1
1030,No,Research & Development,50,Male,Laboratory Technician,4,2380,3,1
1032,No,Research & Development,59,Female,Manufacturing Director,4,13726,3,5
1033,Yes,Research & Development,37,Female,Healthcare Representative,2,4777,1,1
1034,No,Research & Development,55,Male,Healthcare Representative,2,6385,3,8
1035,No,Research & Development,41,Female,Research Director,3,19973,3,21
1036,No,Sales,38,Male,Sales Executive,4,6861,3,1
1037,Yes,Sales,26,Male,Sales Executive,1,4969,3,2
1038,Yes,Sales,52,Female,Manager,4,19845,3,32
1039,No,Sales,44,Female,Sales Executive,4,13320,3,12
1040,No,Sales,50,Female,Sales Executive,3,6347,3,18
1042,Yes,Research & Development,36,Female,Laboratory Technician,1,2743,3,17
1043,No,Research & Development,39,Female,Manufacturing Director,1,10880,3,21
1044,No,Sales,33,Female,Sales Representative,4,2342,2,2
1045,No,Sales,45,Female,Manager,4,17650,4,9
1046,No,Research & Development,32,Female,Laboratory Technician,3,4025,3,8
1047,No,Sales,34,Male,Sales Executive,4,9725,2,15
1048,No,Sales,59,Male,Manager,4,11904,1,6
1049,No,Human Resources,45,Male,Human Resources,2,2177,3,6
1050,No,Sales,53,Female,Sales Executive,2,7525,3,15
1052,Yes,Research & Development,36,Male,Laboratory Technician,3,4834,2,1
1053,Yes,Research & Development,26,Male,Research Scientist,1,2042,3,3
1055,No,Sales,34,Female,Sales Representative,3,2220,3,1
1056,No,Sales,28,Male,Sales Representative,2,1052,3,1
1060,No,Research & Development,38,Male,Research Scientist,3,2821,3,2
1061,No,Research & Development,50,Male,Research Director,3,19237,2,8
1062,No,Research & Development,37,Female,Healthcare Representative,2,4107,2,4
1066,No,Sales,40,Male,Sales Executive,1,8396,2,7
1068,No,Research & Development,26,Female,Research Scientist,3,2007,3,5
1069,No,Research & Development,46,Male,Research Director,4,19627,3,2
1070,No,Sales,54,Female,Sales Executive,3,10686,3,9
1071,No,Research & Development,56,Female,Research Scientist,3,2942,3,5
1073,No,Research & Development,36,Female,Manufacturing Director,4,8858,2,14
1074,No,Research & Development,55,Male,Manager,1,16756,4,9
1076,No,Sales,43,Male,Sales Executive,4,10798,3,1
1077,Yes,Sales,20,Female,Sales Representative,4,2323,3,2
1079,Yes,Research & Development,21,Female,Laboratory Technician,1,1416,2,1
1080,No,Research & Development,46,Female,Research Scientist,1,4615,3,16
1081,Yes,Research & Development,51,Male,Research Scientist,3,2461,4,10
1082,Yes,Research & Development,28,Male,Healthcare Representative,1,8722,2,10
1083,No,Research & Development,26,Male,Laboratory Technician,1,3955,3,5
1084,No,Research & Development,30,Male,Manufacturing Director,1,9957,2,6
1085,No,Research & Development,41,Female,Research Scientist,3,3376,3,10
1088,No,Research & Development,38,Female,Healthcare Representative,3,8823,2,19
1092,No,Research & Development,40,Male,Healthcare Representative,4,10322,3,11
1094,No,Research & Development,27,Male,Laboratory Technician,3,4621,3,3
1096,No,Research & Development,55,Male,Manufacturing Director,2,10976,3,3
1097,No,Research & Development,28,Female,Research Scientist,3,3660,4,8
1098,Yes,Human Resources,44,Male,Human Resources,1,10482,3,20
1099,No,Research & Development,33,Male,Healthcare Representative,4,7119,3,3
1100,Yes,Sales,35,Male,Sales Executive,1,9582,3,8
1101,Yes,Research & Development,33,Female,Research Scientist,3,4508,3,13
1102,No,Research & Development,28,Male,Laboratory Technician,3,2207,2,4
1103,No,Research & Development,34,Male,Healthcare Representative,4,7756,2,6
1105,No,Sales,37,Female,Sales Executive,4,6694,3,1
1106,Yes,Research & Development,25,Male,Laboratory Technician,4,3691,4,7
1107,Yes,Research & Development,26,Male,Laboratory Technician,3,2377,2,1
1108,Yes,Research & Development,33,Male,Research Scientist,2,2313,3,2
1109,No,Research & Development,42,Male,Manager,1,17665,3,22
1111,Yes,Research & Development,28,Male,Laboratory Technician,2,2596,3,1
1113,Yes,Sales,50,Male,Sales Executive,3,4728,3,0
1114,No,Sales,33,Female,Sales Executive,2,4302,3,3
1115,No,Research & Development,34,Male,Research Scientist,4,2979,3,0
1116,No,Research & Development,48,Male,Manager,4,16885,2,5
1117,No,Sales,45,Female,Sales Executive,3,5593,3,15
1118,No,Research & Development,52,Male,Healthcare Representative,2,10445,3,8
1119,No,Sales,38,Male,Sales Executive,3,8740,3,8
1120,No,Research & Development,29,Female,Research Scientist,4,2514,3,7
1121,No,Research & Development,28,Female,Manufacturing Director,2,7655,2,9
1124,No,Sales,46,Male,Manager,3,17465,3,12
1125,No,Sales,38,Male,Sales Executive,2,7351,3,1
1126,No,Research & Development,43,Female,Manufacturing Director,1,10820,3,8
1127,Yes,Research & Development,39,Male,Healthcare Representative,4,12169,3,18
1128,No,Research & Development,40,Male,Research Director,3,19626,4,20
1131,No,Research & Development,21,Female,Research Scientist,2,2070,4,2
1132,No,Research & Development,39,Male,Laboratory Technician,2,6782,2,5
1133,No,Research & Development,36,Male,Manufacturing Director,4,7779,3,11
1135,No,Sales,31,Male,Sales Representative,4,2791,3,2
1136,No,Research & Development,28,Male,Research Scientist,2,3201,1,5
1137,No,Sales,35,Male,Sales Executive,4,4968,3,5
1138,No,Sales,49,Male,Sales Executive,2,13120,3,9
1140,No,Research & Development,34,Male,Manufacturing Director,3,4033,2,3
1143,No,Research & Development,29,Female,Research Scientist,2,3291,2,7
1148,No,Research & Development,42,Male,Laboratory Technician,4,4272,3,1
1150,No,Research & Development,29,Male,Manufacturing Director,4,5056,2,10
1152,No,Human Resources,38,Male,Human Resources,3,2844,4,7
1154,No,Research & Development,28,Male,Research Scientist,3,2703,3,3
1156,Yes,Research & Development,18,Male,Laboratory Technician,3,1904,3,0
1157,Yes,Sales,33,Female,Sales Executive,1,8224,3,5
1158,No,Research & Development,41,Male,Laboratory Technician,4,4766,3,1
1160,Yes,Research & Development,31,Male,Laboratory Technician,3,2610,2,2
1161,No,Research & Development,37,Female,Healthcare Representative,4,5731,3,6
1162,No,Research & Development,27,Male,Research Scientist,3,2539,3,4
1163,No,Sales,34,Female,Sales Executive,3,5714,2,6
1164,No,Human Resources,35,Male,Human Resources,3,4323,1,5
1165,Yes,Sales,29,Female,Sales Executive,1,7336,1,11
1166,No,Research & Development,40,Female,Research Director,3,13499,2,18
1167,Yes,Sales,42,Male,Sales Executive,1,13758,2,21
1171,No,Sales,42,Male,Sales Executive,1,5155,4,6
1172,No,Research & Development,35,Male,Laboratory Technician,3,2258,3,8
1173,No,Research & Development,24,Male,Laboratory Technician,2,3597,3,4
1175,Yes,Research & Development,28,Female,Laboratory Technician,4,2515,2,1
1177,No,Research & Development,26,Male,Laboratory Technician,4,4420,3,8
1179,No,Sales,30,Male,Sales Executive,3,6578,3,10
1180,No,Research & Development,40,Female,Research Scientist,4,4422,1,1
1182,No,Research & Development,35,Male,Manufacturing Director,2,10274,4,7
1184,No,Research & Development,34,Male,Healthcare Representative,1,5343,3,13
1185,No,Research & Development,35,Male,Laboratory Technician,4,2376,4,2
1188,Yes,Sales,43,Female,Sales Executive,3,5346,2,4
1190,No,Sales,32,Female,Sales Representative,1,2827,3,1
1191,No,Research & Development,56,Female,Manager,1,19943,3,5
1192,No,Research & Development,29,Female,Laboratory Technician,4,3131,3,10
1193,No,Research & Development,19,Male,Research Scientist,1,2552,3,1
1195,No,Research & Development,45,Female,Research Scientist,3,4477,2,3
1196,No,Research & Development,37,Female,Manufacturing Director,4,6474,2,14
1198,No,Research & Development,20,Male,Laboratory Technician,3,3033,2,2
1200,Yes,Research & Development,44,Male,Research Scientist,3,2936,3,6
1201,No,Research & Development,53,Female,Manager,3,18606,3,7
1202,No,Research & Development,29,Female,Research Scientist,4,2168,2,5
1203,Yes,Research & Development,22,Male,Research Scientist,4,2853,3,0
1204,No,Sales,46,Female,Manager,1,17048,3,26
1206,No,Research & Development,44,Male,Research Scientist,3,2290,3,0
1207,No,Human Resources,33,Male,Human Resources,3,3600,3,5
1210,Yes,Research & Development,41,Male,Research Scientist,1,2107,1,1
1211,No,Sales,30,Male,Sales Executive,1,4115,3,4
1212,No,Sales,40,Male,Sales Executive,2,4327,3,0
1215,No,Research & Development,50,Female,Manager,1,17856,3,2
1216,No,Research & Development,28,Male,Laboratory Technician,1,3196,3,6
1217,No,Research & Development,46,Male,Research Director,2,19081,3,4
1218,No,Sales,35,Male,Sales Executive,1,8966,3,7
1219,Yes,Research & Development,24,Female,Laboratory Technician,2,2210,1,1
1220,No,Sales,33,Female,Sales Executive,3,4539,2,10
1221,No,Research & Development,36,Male,Laboratory Technician,3,2741,3,7
1224,No,Research & Development,30,Male,Laboratory Technician,3,3491,2,10
1225,No,Research & Development,44,Male,Research Scientist,4,4541,3,20
1226,No,Sales,20,Male,Sales Representative,4,2678,3,2
1228,No,Research & Development,46,Male,Manufacturing Director,4,7379,2,6
1231,No,Human Resources,42,Male,Human Resources,1,6272,4,4
1233,No,Sales,60,Male,Sales Executive,4,5220,3,11
1234,No,Research & Development,32,Female,Laboratory Technician,2,2743,3,2
1235,No,Research & Development,32,Female,Research Scientist,3,4998,3,8
1237,No,Research & Development,36,Female,Manufacturing Director,1,10252,3,7
1238,No,Research & Development,33,Male,Research Scientist,4,2781,3,14
1239,No,Sales,40,Female,Sales Executive,2,6852,4,5
1240,No,Sales,25,Male,Sales Executive,4,4950,3,4
1241,No,Research & Development,30,Male,Research Scientist,2,3579,3,11
1242,No,Research & Development,42,Female,Research Director,1,13191,3,1
